property_id, location_zip, seating_type, clue_small_area, trading_name, x_coordinate, location_city, location_state, number_of_seats, ogc_fid, industry_anzsic4_description, y_coordinate, census_year, street_address
"599505",null,"Seats - Indoor","Docklands","Nando's","144.947217",null,null,"110",43206,"Cafes and Restaurants","-37.81817241","2017","744-770 Bourke Street"
"604125",null,"Seats - Indoor","Docklands","Va Bene Pizzeria","144.9435654",null,null,"180",43216,"Cafes and Restaurants","-37.8165193","2017","143-175 Harbour Esplanade"
"108867",null,"Seats - Outdoor","West Melbourne (Residential)","Royal Mail Hotel On Spencer","144.9482732",null,null,"15",43217,"Pubs, Taverns and Bars","-37.80844822","2017","515-523 Spencer Street"
"589841",null,"Seats - Indoor","Melbourne (CBD)","Meshiya Japanese Restaurant","144.9657034",null,null,"50",43220,"Cafes and Restaurants","-37.810658","2017","221 Little Lonsdale Street"
"103612",null,"Seats - Outdoor","Melbourne (CBD)","B & B' Guette Cafe","144.9687626",null,null,"6",43224,"Cafes and Restaurants","-37.80879339","2017","305-307 Exhibition Street"
"105949",null,"Seats - Indoor","Melbourne (CBD)","Piccolocino","144.956774",null,null,"22",43242,"Cafes and Restaurants","-37.81695942","2017","538-542 Little Collins Street"
"573414",null,"Seats - Outdoor","Docklands","Sushi Wang","144.9451224",null,null,"16",43257,"Cafes and Restaurants","-37.81888389","2017","788-812 Bourke Street"
"105304",null,"Seats - Indoor","Melbourne (CBD)","King Jons","144.9551492",null,null,"47",43276,"Cafes and Restaurants","-37.81584127","2017","185 King Street"
"101173",null,"Seats - Outdoor","Melbourne (CBD)","The Common","144.9567557",null,null,"8",43278,"Cafes and Restaurants","-37.81550891","2017","562-574 Bourke Street"
"103957",null,"Seats - Indoor","Melbourne (CBD)","Hunters' Roots","144.9566017",null,null,"10",43281,"Takeaway Food Services","-37.81988484","2017","517-537 Flinders Lane"
"105673",null,"Seats - Indoor","Melbourne (CBD)","Bomba Tapas Bar and Rooftop","144.9692541",null,null,"118",43288,"Cafes and Restaurants","-37.81049305","2017","103-105 Lonsdale Street"
"104021",null,"Seats - Indoor","Melbourne (CBD)","Dutchess","144.9700863",null,null,"100",43290,"Cafes and Restaurants","-37.81640747","2017","142-148 Flinders Street"
"103328",null,"Seats - Indoor","Melbourne (CBD)","Starbucks","144.965095",null,null,"3",43292,"Takeaway Food Services","-37.81763649","2017","274-282 Flinders Street"
"102127",null,"Seats - Indoor","Melbourne (CBD)","Taco Bill Collins Street","144.960489",null,null,"80",43294,"Cafes and Restaurants","-37.81698962","2017","412-414 Collins Street"
"102109",null,"Seats - Outdoor","Melbourne (CBD)","Gloria Jean's Coffees","144.9543505",null,null,"6",43299,"Cafes and Restaurants","-37.81867544","2017","612-624 Collins Street"
"612530",null,"Seats - Outdoor","Kensington","Kensington Canteen","144.9303643",null,null,"16",43304,"Takeaway Food Services","-37.79956857","2017","90-114 Bakehouse Road"
"110679",null,"Seats - Outdoor","Melbourne (CBD)","Tribel Cafe","144.9572395",null,null,"36",43312,"Cafes and Restaurants","-37.80745984","2017"," Peel Street"
"627248",null,"Seats - Indoor","Southbank","Restuarant Ayams Chef","144.9679591",null,null,"85",43328,"Cafes and Restaurants","-37.82998246","2017","63-75 Coventry Street"
"106110",null,"Seats - Indoor","Carlton","Borsari Ristorante","144.9666725",null,null,"70",43369,"Cafes and Restaurants","-37.80089707","2017","201-203 Lygon Street"
"102124",null,"Seats - Indoor","Melbourne (CBD)","Sunny Boy Cafe","144.9597623",null,null,"34",43381,"Cafes and Restaurants","-37.81703239","2017","430-442 Collins Street"
"110713",null,"Seats - Indoor","Melbourne (CBD)","Mr Speaker ","144.9714146",null,null,"75",43384,"Cafes and Restaurants","-37.8090402","2017","2 Lonsdale Street"
"106217",null,"Seats - Indoor","Carlton","Minzaman Lebanese Restaurant","144.9673338",null,null,"43",43387,"Cafes and Restaurants","-37.80013942","2017","292 Lygon Street"
